ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
REQUEST	658		Home	1591024171267	1591024172004	OK	 
USER	Update	290	START	1591024172003	1591024172003
USER	Show	501	START	1591024172005	1591024172005
REQUEST	647		Home	1591024171122	1591024172005	OK	 
USER	Delete	713	START	1591024172006	1591024172006
USER	Show	500	START	1591024171769	1591024171769
REQUEST	439		Home	1591024171139	1591024172011	OK	 
REQUEST	225		Home	1591024171127	1591024172011	OK	 
USER	Create	84	START	1591024172011	1591024172011
USER	Update	291	START	1591024172011	1591024172011
REQUEST	438		Home	1591024171131	1591024172012	OK	 
REQUEST	31		Home	1591024171177	1591024172012	OK	 
USER	Show	502	START	1591024172012	1591024172012
USER	Delete	714	START	1591024172012	1591024172012
USER	Create	85	START	1591024172013	1591024172013
REQUEST	231		Home	1591024171212	1591024172014	OK	 
REQUEST	30		Home	1591024171157	1591024172014	OK	 
USER	Update	292	START	1591024172013	1591024172013
USER	Show	503	START	1591024172014	1591024172014
USER	Delete	715	START	1591024172014	1591024172014
USER	Create	86	START	1591024172014	1591024172014
USER	Update	293	START	1591024172015	1591024172015
REQUEST	447		Home	1591024171266	1591024172015	OK	 
REQUEST	230		Home	1591024171180	1591024172015	OK	 
USER	Show	504	START	1591024172015	1591024172015
USER	Delete	716	START	1591024172015	1591024172015
USER	Update	294	START	1591024172016	1591024172016
USER	Create	87	START	1591024172016	1591024172016
USER	Show	505	START	1591024172016	1591024172016
REQUEST	654		Home	1591024171256	1591024172017	OK	 
REQUEST	239		Home	1591024171272	1591024172017	OK	 
USER	Delete	717	START	1591024172017	1591024172017
USER	Create	88	START	1591024172017	1591024172017
USER	Update	295	START	1591024172017	1591024172017
USER	Show	506	START	1591024172017	1591024172017
USER	Create	89	START	1591024172018	1591024172018
USER	Delete	718	START	1591024172018	1591024172018
REQUEST	446		Home	1591024171265	1591024172019	OK	 
REQUEST	655		Home	1591024171279	1591024172019	OK	 
